text,label
"""1. ""Україна виграла чемпіонат світу з футболу!""",0
"""2. ""Сьогодні в Києві мрякає дощ, проїжджати будуть сповільнено.""",0
"""3. ""Нове схоже на iPhone 12? Це Samsung Galaxy S21.""",0
"""4. ""Доброго ранку! Сьогодні у нас на обіді борщ.""",0
"""5. ""Учемні пасажири, будьте уважні і тримайте дистанцію.""",0
"""6. ""Рекомендую книжку 'Тіні забутих предків', що написана укр. мовою.""",0
"""7. ""Нашою командою розроблено новий CRM для малого бізнесу.""",0
"""8. ""Поспішіть купувати! Акційна пропозиція закінчується сьогодні.""",0
"""9. ""Будь ласка, перейменуйте цей файл на 'Звіт за січень'.""",0
"""10. ""Дорогий клієнт, ми тісніше співпрацюватимемо з вашою компанією.""",0
"""11. ""Сьогодні відпочиваємо від роботи, це невимушені вихідні.""",0
"""12. ""Радше б увімкнув кондиціонер, тут дуже жарко.""",0
"""13. ""Завтра перший день навчання, я дуже волнуюсь.""",0
"""14. ""Професор сказав, що завдання треба здати до п'ятниці.""",0
"""15. ""Ми відкриваємо нову філію у Львові, приєднуйтесь до нас!""",0
"""16. ""Це фантастичний фільм, я б його рекомендував кожному.""",0
"""17. ""У нас закінчується молочко, папа, купуй ще.""",0
"""18. ""Вітаємо вас у нашому ресторані! Ось меню на сьогодні.""",0
"""19. ""Читайте нові новини на нашому офіційному сайті.""",0
"""20. ""Дорогий клієнт, ми дякуємо за довірчий відгук про нашу компанію.""",0
"""21. ""Кошенята, зверніть увагу на нову гральну зону.""",0
"""22. ""Сьогодні у нас у гостях відомий письменник, приєднуйтесь!""",0
"""23. ""Наш новий сервіс онлайн-оплати запускається сьогодні.""",0
"""24. ""Обов'язково відвідайте виставку картин у Національній картині галереї.""",0
"""25. ""Вітаємо вас у нашому новому офісі! Ми задоволені результатами.""",0
"""26. ""Хтось бачив мою чорну сумочку? Я її втратила.""",0
"""27. ""Дорогий пацієнт, порадимо вам прийняти таблетку перед сном.""",0
"""28. ""Це дуже цікаво, ми відвідали нову виставку у Музеї Історичних Костюмів.""",0
"""29. ""У нас є спеціальна пропозиція для нових клієнтів.""",0
"""30. ""Наш новий проект запускається цього місяця, чекаємо вас!""",0
"""31. ""Уваж, я покину роботу трохи раніше сьогодні.""",0
