text,label
"""Bancos reduzem taxa de juros após pressão do governo.""",0
"""Famosa banda de rock se apresenta na cidade vizinha esta semana.""",0
"""Recém-formado em ciência da computação, ele conseguiu seu primeiro emprego.""",0
"""Novo aplicativo de entrega de comida está causando furor na cidade.""",0
"""Investigadores descobrem origem de vírus que afetou a cidade ano passado.""",0
"""Minha nova bicicleta é incrível! Vale cada centavo gasto.""",0
"""Estou ansioso para o lançamento do último livro de meu autor favorito.""",0
"""Equipe local de futebol vence jogo emocionante fora de casa.""",0
"""Estudo revela impacto da poluição sonora em animais urbanos.""",0
"""Melhor restaurante da cidade serve comida deliciosa a preços razoáveis.""",0
"""Conferência sobre tecnologia atraiu milhares de entusiastas da área.""",0
"""Minha filha está adorando sua nova escola. Os professores são excelentes.""",0
"""Projeto de lei sobre mudança climática é aprovado pelo Congresso.""",0
"""Minha viagem para a praia foi incrível! O hotel era ótimo.""",0
"""Músico local ganha prêmio nacional de música.""",0
"""Estou planejando uma festa surpresa para um amigo especial.""",0
"""Novo parque temático abre suas portas no mês que vem.""",0
"""Estou aprendendo a cozinhar com um curso online. Adoro a flexibilidade.""",0
"""Descoberta arqueológica pode mudar o que sabemos sobre a história local.""",0
"""Meu vizinho está plantando um jardim lindo na frente de sua casa.""",0
"""Programa de reciclagem é implementado na cidade com grande sucesso.""",0
"""Minha irmã está grávida! Mal posso esperar para ser tia.""",0
"""Nova linha de smartphones da empresa é lançada hoje.""",0
"""Estou lendo um livro fascinante sobre a vida marinha.""",0
"""Evento de caridade arrecada fundos para construção de novo hospital.""",0
"""Minha família está planejando uma viagem para a montanha no fim de semana.""",0
"""Loja local de roupas vintage é meu novo lugar favorito para fazer compras.""",0
"""Estou aprimorando minhas habilidades de pintura com um tutor online.""",0
"""Projeto de चुrtila de transporte público é aprovado por unanimidade.""",0
"""Meu grupo de leitura está discutindo o novo best-seller esta semana.""",0
"""Estou economizando para comprar uma casa no campo.""",0
"""Nova linha de cosméticos veganos é lançada pela empresa.""",0
"""Minha filha está participando de uma competição de dança este fim de semana.""",0
"""Estou aprendendo a tocar guitarra com um amigo que é músico experiente.""",0
"""Novo filme de terror está assustando o público.""",0
"""Estou planejando uma festa surpresa de aniversário para meu irmão.""",0
"""Estou aprendendo uma nova língua online. É mais fácil do que eu pensava.""",0
"""Meus pais estão planejando uma viagem de cruzeiro no ano que vem.""",0
"""Minha irmã mais nova está prestes a se formar na faculdade.""",0
"""Novo centro comercial está atraindo clientes com suas lojas exclusivas.""",0
"""Estou lendo um livro sobre a história da cidade onde cresci.""",0
"""Minha mãe está doando seu tempo para uma organização de caridade local.""",0
"""Estou ansioso para o início da temporada de esportes este ano.""",0
"""Novo parque infantil foi inaugurado na nossa vizinhança ontem.""",0
"""Estou aprendendo a cozinhar com receitas tradicionais da minha avó.""",0
"""Minha irmã acabou de comprar um novo apartamento no centro da cidade.""",0
"""Estou planejando uma festa de aniversário surpresa para minha melhor amiga.""",0
"""Estou aprendendo a programar com um curso online gratuito.""",0
"""Nova linha de produtos orgânicos está causando sensação no mercado.""",0
"""Minha filha está participando de um torneio de xadrez este fim de semana.""",0
"""Estou lendo um livro sobre a vida de um famoso escritor local.""",0
"""Minha família está planejando uma viagem para a praia no verão.""",0
"""Estou aprendendo a tocar piano com um professor online.""",0
"""Nova exposição de arte abre no museu esta semana.""",0
"""Estou planejando uma festa de aniversário surpresa para meu pai.""",0
"""Estou lendo um livro sobre a história da cidade onde moro agora.""",0
"""Minha irmã está se mudando para outro país para trabalho.""",0
"""Estou aprendendo a fazer tricô com uma amiga experiente.""",0
"""Nova linha de produtos para animais de estimação é lançada pela empresa.""",0
"""Estou ansioso para o lançamento do novo jogo de video game este ano.""",0
"""Minha filha está participando de um concurso de poesia este mês.""",0
"""Estou lendo um livro sobre a vida de um famoso explorador.""",0
"""Minha família está planejando uma viagem para os Alpes no inverno.""",0
"""Estou aprendendo a fotografar com um curso online.""",0
"""1. ""Incêndio em edifício abandonado na cidade deixa um morto.""",0
"""2. ""Novo smartphone da marca X recebe críticas por sua bateria.""",0
"""3. ""Estudo sobre impacto das mudanças climáticas será apresentado na conferência.""",0
"""4. ""Família perde tudo em furacão, mas consegue salvação com ajuda de vizinhos.""",0
"""5. ""Livro de suspense ganha vida no cinema, com estreia prevista para esta semana.""",0
"""Louvre acolhe nova exposição sobre impressionismo.""",0
"""Comprei um novo smartphone, mas ainda não me acostumei com ele.""",0
"""Fogos de artifício iluminam o céu na noite de Ano Novo.""",0
"""Estou ansioso para visitar um amigo em outro país este verão.""",0
"""Nova pesquisa sugere que exercício físico aumenta a criatividade.""",0
"""O melhor restaurante que já fui é aquele pequeno lugar na praia.""",0
"""Mudança clim""",0
"""1. ""Fogo em prédio abandonado no centro de uma cidade deixou três bombeiros feridos.""",0
"""2. ""Novo lançamento da Apple recebeu críticas mistas dos especialistas em tecnologia.""",0
"""3. ""Time local de futebol venceu o campeonato estadual após emocionante partida de final.""",0
"""4. ""Investidores preocupados com a queda das ações da empresa X na bolsa de valores.""",0
"""5. ""Recém-formado em ciência da computação conseguiu emprego em multinacional após estágio.""",0
"""6. ""Museum de arte exibirá exposição de pinturas impressionistas por dois meses.""",0
"""7. ""Moradores de uma cidade pequena ficaram surpresos com a chegada de uma tempestade de neve.""",0
"""8. ""Livro de ficção científica do autor best-seller se tornou sucesso de vendas nas últimas semanas.""",0
"""9. ""Pacientes com sintomas similares a gripes devem ficar em casa e evitar contato com outros.""",0
"""10. ""Carro novo chegou ontem, ainda não tive tempo de testar todas as suas funcionalidades.""",0
"""11. ""Empreendedor local abriu uma loja de produtos orgânicos com grande sucesso.""",0
"""12. ""Pesquisadores descobriram nova espécie de planta em meio à floresta amazônica.""",0
"""13. ""Amanhã é o casamento de uma amiga, não sei ainda o que vestirei.""",0
"""14. ""Novo filme de ação chegou aos cinemas, porém os críticos não estão impressionados.""",0
"""15. ""Uso de máscaras se tornou obrigatório em todos os comércios da cidade.""",0
"""16. ""Vecinos se organizaram para limpar a praça local, melhorando a aparência do bairro.""",0
"""17. ""Minha irmã ganhou um cachorro como presente de aniversário, ela está muito feliz.""",0
"""18. ""Novo aplicativo de entrega de comida recebeu boas avaliações por sua rapidez e eficiência.""",0
"""19. ""Estou planejando uma viagem para a praia com meu melhor amigo no próximo mês.""",0
"""20. ""Professor de história recebeu prêmio por sua dedicação à educação de jovens.""",0
"""21. ""Meu vizinho está construindo uma casa nova, deve estar quase pronta.""",0
"""22. ""Livro de autoajuda se tornou best-seller após ser recomendado por celebridades.""",0
"""23. ""Equipe de remo local venceu competição regional após treinamento intensivo.""",0
"""24. ""Cientistas alertam para o aumento da temperatura global e seus efeitos no meio ambiente.""",0
"""25. ""Gato sumiu ontem à noite, ainda não voltou para casa.""",0
"""26. ""Novo jogo de videogame foi lançado hoje, já está em minha lista de desejos.""",0
"""27. ""Minha avó acabou de completar 80 anos, fizemos uma festa surpresa para ela.""",0
"""28. ""Nova série de TV baseada em livro popular recebeu ótimas notas dos espectadores.""",0
"""29. ""Estou aprendendo a tocar violão, é mais difícil do que parece.""",0
"""30. ""Caminhoneiros protestam contra aumento no preço do diesel nas rodovias do país.""",0
"""31. ""Meu filho começou a andar de bicicleta sem rodinhas, está muito orgulhoso.""",0
"""32. ""Conferência internacional de medicina reuniu especialistas em doenças infecciosas.""",0
"""33. ""Minha empresa está mudando para um novo escritório, espero que gostem do novo local.""",0
"""34. ""Criador de conteúdo digital tornou-se referência no assunto, com milhões de seguidores.""",0
"""35. ""Pacotes de viagem para o exterior aumentaram desde a abertura das fronteiras.""",0
"""36. ""Estou lendo um livro sobre história da arte, é muito interessante.""",0
"""37. ""Time de basquete local venceu o campeonato após uma emocionante partida final.""",0
"""38. ""Novos empreendimentos imobiliários estão transformando a paisagem da cidade.""",0
"""39. ""Meu amigo está pasando por dificuldades financeiras, vou tentar ajudar da melhor forma possível.""",0
"""40. ""Novo restaurante na cidade oferece pratos típicos da culinária italiana.""",0
"""41. ""Estou organizando uma festa surpresa para o aniversário de meu pai este fim de semana.""",0
"""42. ""Programa de reciclagem em escolas recebeu apoio dos pais e professores.""",0
"""43. ""Minha irmã está grávida, não posso esperar para conhecer o bebê.""",0
"""44. ""Novo smartphone da marca Y é lançado com recursos avançados de câmera.""",0
"""45. ""Estou aprendendo a cozinhar, ontem fiz uma massa caseira deliciosa.""",0
"""46. "" östlichen Nachbarstadt plantou milhares de árvores para combater a poluição do ar.""",0
"""47. ""Minha namorada e eu estamos planejando uma viagem para a Europa no ano que vem.""",0
"""48. ""Novo parque infantil foi inaugurado na cidade, as crianças estão amando.""",0
"""49. ""Estou tentando encontrar um emprego como freelancer, é difícil no início.""",0
"""50. ""Meu irmão acabou de comprar um carro zero quilômetro, ainda não sei qual modelo é.""",0
"""1. ""Brazil vence a Alemanha na final da Copa do Mundo""",0
"""2. ""Novo modelo de smartphone da marca X é lançado hoje""",0
"""3. ""A biblioteca municipal está fechada para obras de reforma""",0
"""4. ""O melhor restaurante italiano da cidade é o La Cucina""",0
"""5. ""O novo filme da Marvel estreia esta semana nos cinemas""",0
