text,label
"""Hey! Just wanted to check in on you. How have you been?""",0
"""Don’t forget about our meeting tomorrow at 2 PM. Looking forward to it!""",0
"""Your package has been delivered! It should be on your porch.""",0
"""Can you please send me the report by the end of the day? Thanks!""",0
"""Hey, just a reminder that your dentist appointment is on Friday at 10 AM.""",0
"""Your bank alert: A deposit of $500 was made to your account today.""",0
"""Are we still on for dinner this weekend? Let me know what time works for you!""",0
"""Just a quick note that your subscription will renew on the 15th.""",0
"""I saw your message! I’ll call you later tonight.""",0
"""Congrats on your promotion! Let’s celebrate soon!""",0
"""Your OTP for logging in is 123456. Please use it within 10 minutes.""",0
"""We’ll need to reschedule our meeting. How does next Wednesday sound?""",0
"""Just checking in to see how your job search is going. Any updates?""",0
"""Your order for the new phone has been confirmed and will ship soon!""",0
"""Reminder: The community meeting is next Thursday at 6 PM at the library.""",0
"""Hey! Did you get a chance to look at that document I sent?""",0
"""I hope you’re feeling better! Let me know if you need anything.""",0
"""Your flight from NYC to LA has been delayed by 2 hours.""",0
"""Hey! Can you pick up some groceries on your way home? Thanks!""",0
"""I’m running late, but I’ll be there in about 15 minutes.""",0
"""Your appointment has been successfully booked for next Monday at 3 PM.""",0
"""Just a heads up that the power will be out for maintenance from 1 to 3 PM tomorrow.""",0
"""Hey, I finished the book you recommended! Let’s discuss it over coffee.""",0
"""Your recent transaction of $45.99 was successful.""",0
"""Thanks for helping out with the event last weekend! It went great!""",0
"""Can you remind me to call Mom tomorrow? I keep forgetting!""",0
"""The webinar you registered for starts at 5 PM tomorrow. Don’t miss it!""",0
"""I’m so proud of you! You did an amazing job on your presentation!""",0
"""Your password has been successfully reset. Please let us know if you have any issues.""",0
"""Are you free to catch up this week? I’d love to hear about your trip!""",0
"""Just a quick reminder to pay your rent by the end of the week.""",0
"""I received your email and will get back to you shortly.""",0
"""Your feedback is valuable to us! Please fill out the survey linked below.""",0
"""Hey, can you send me the link to that video we talked about?""",0
"""I wanted to let you know that I’ll be out of town from the 10th to the 15th.""",0
"""Thanks for your patience! We’ll have the final results ready by Friday.""",0
"""Just a reminder that the school play is this Saturday at 7 PM.""",0
"""Can you help me with my presentation tomorrow? I could use a second pair of eyes.""",0
"""Your car service is scheduled for Thursday at 11 AM.""",0
"""I appreciate your prompt response to my last message. It really helped!""",0
"""Let’s plan a family get-together sometime next month.""",0
"""Your invoice is due next week. Please check your email for the details.""",0
"""Hey! Just wanted to say I'm thinking of you. Hope everything is okay!""",0
"""Thanks for the invite! I’ll be there with bells on!""",0
"""Your fitness class starts at 6:30 PM tonight. Don’t forget your water bottle!""",0
"""I’m here if you need to talk. Just send me a message anytime.""",0
"""Your account has been successfully verified. Welcome aboard!""",0
"""Can you remind me of the deadline for the project? I want to stay on track.""",0
"""Looking forward to seeing you at the reunion next month!""",0
"""Your feedback on our service is much appreciated! Thank you!""",0
"""Hey! Just wanted to check in and see how your week is going.""",0
"""Don't forget our meeting tomorrow at 10 AM. Looking forward to it!""",0
"""Your package has been shipped and is expected to arrive on Wednesday.""",0
"""Can you pick up some groceries on your way home? I made a list!""",0
"""Reminder: Your car service appointment is scheduled for Friday at 2 PM.""",0
"""Thanks for helping out with the project last week. I really appreciate it!""",0
"""I just transferred the money for the concert tickets. Let me know if you got it.""",0
"""Do you want to grab lunch together this weekend?""",0
"""Your OTP code is 123456. Please enter it to verify your identity.""",0
"""Just a quick note that the community cleanup event is next Saturday at 9 AM.""",0
"""Hope you’re doing well! Let’s catch up soon.""",0
"""I finished the report. It's in the shared drive for you to review.""",0
"""Your subscription will renew on the 15th. Let us know if you have any questions!""",0
"""I’ll be a bit late to the dinner; traffic is really bad.""",0
"""The doctor’s office called to confirm your appointment on Monday at 3 PM.""",0
"""Just wanted to say hi! How’s everything with you?""",0
"""I’ve sent you the details for the upcoming team training session.""",0
"""Your bank statement is ready for review. Log in to see the details.""",0
"""The event was a huge success! Thank you for your contributions!""",0
"""Can you send me the notes from yesterday’s meeting? I missed a few points.""",0
"""I’m thinking of trying that new coffee shop. Want to join me?""",0
"""Your order has been successfully placed! You will receive a confirmation email shortly.""",0
"""Just a reminder that the deadline for submissions is next Friday.""",0
"""How’s the family doing? Hope everyone is well!""",0
"""Your flight has been confirmed for next month. Check your email for details.""",0
"""Let’s schedule a time to discuss the new project. I’m free Thursday afternoon.""",0
"""I’ve signed up for the yoga class. Would you like to join me?""",0
"""Thanks for attending the webinar! Please fill out the feedback form.""",0
"""Your password has been reset. Please check your email for the new password.""",0
"""It was great to see you at the reunion! Let’s not wait so long next time.""",0
"""The maintenance team will be on site tomorrow for repairs.""",0
"""Hope you’re having a great day! Just wanted to say you’re doing amazing work.""",0
"""Your delivery is scheduled for tomorrow between 2 PM and 4 PM.""",0
"""I’ll be at the coffee shop at 4 PM if you want to meet up.""",0
"""Just a heads-up, the office will be closed next Monday for the holiday.""",0
"""I’m really excited about the upcoming trip! Have you packed yet?""",0
"""The seminar starts at 9 AM sharp. Don’t forget to bring your materials!""",0
"""I just got a notification about a new job opening that might interest you.""",0
"""Thanks for the quick response! I’ll get back to you with more info soon.""",0
"""The fundraiser raised over $5,000! Thanks to everyone who donated.""",0
"""I hope you’re feeling better! Let me know if you need anything.""",0
"""Your appointment has been rescheduled to next Thursday at 11 AM.""",0
"""Can you please confirm if you’ll be attending the meeting next week?""",0
"""Looking forward to our chat later! I have some updates to share.""",0
"""Just wanted to remind you about the book club meeting tomorrow evening.""",0
"""Your feedback is important to us! Please take a moment to complete our survey.""",0
"""I’m so proud of you for finishing that project! Let’s celebrate soon!""",0
"""The new software update is available. Please install it at your convenience.""",0
"""Thanks for your help with the presentation! You made it look great.""",0
"""Hey! Just wanted to check in and see how your day is going.""",0
"""Reminder: Your dentist appointment is tomorrow at 3 PM.""",0
"""Thanks for your order! It will arrive by Friday.""",0
"""Can we reschedule our meeting to next Tuesday?""",0
"""Just got back from the grocery store. Need anything?""",0
"""Your bank alert: $50 was withdrawn from your account today.""",0
"""Looking forward to the party this weekend! Let me know if you need help.""",0
"""You have a new message from your coworker. Check it out when you can!""",0
