text,label
"""Ich habe gestern ein neues Buch über Datenschutz gelesen, sehr informativ über die Verwaltung von Informationen im Internet.""",0
"""Kannst du mir die Nummer des Kundenservices geben? Ich meine nicht meine persönliche, sondern die allgemeine Hotline.""",0
"""Meine Adresse ist ganz einfach zu merken, sie klingt wie ein Gedicht, aber ich sage sie dir lieber nicht.""",0
"""Ich habe eine Karte mit 16 Ziffern, die ich für ein Spiel benutze, nicht für Zahlungen, haha!""",0
"""Wir sprachen über die Struktur von Identifikationsnummern in einem Seminar, aber ohne konkrete Beispiele zu nennen.""",0
"""Ich wohne in der Nähe der Hauptstraße 123, aber genauer werde ich nicht, das reicht doch, oder?""",0
"""Mein Kontakt ist unter der Bezeichnung 'Beste Freundin' gespeichert, keine Sorge, ich teile keine echten Daten.""",0
"""Ich habe eine lange Nummer für meine Mitgliedschaft im Club, aber die ist nur für interne Zwecke gedacht.""",0
"""Wir haben über die Formatierung von Postleitzahlen diskutiert, ohne spezifische Orte zu erwähnen.""",0
"""Ich nenne meine Straße oft 'die gemütliche Ecke', aber das ist natürlich kein offizieller Name.""",0
"""Ich habe meine neue Adresse notiert: Es ist irgendwo in der Nähe von Berlin, genauer gesagt in der Straße, die mit 'M' anfängt. Kannst du raten, wo?""",1
"""Meine Kontaktdaten? Nun, ich gebe dir einen Hinweis: Die ersten drei Ziffern meiner Telefonnummer ergeben zusammen 12. Rate mal weiter!""",1
"""Ich habe gestern eine Karte bestellt, und die letzten vier Ziffern sind irgendwie mit meiner Lieblingszahl 7 verbunden. Interessant, oder?""",1
"""Weißt du, meine persönliche Nummer für wichtige Dokumente hat eine Menge Nullen drin, fast wie ein Code. Ich sage nur so viel: Es beginnt mit 00.""",1
"""Ich wohne jetzt in einer Gegend, die man kaum findet. Sagen wir einfach, die Hausnummer ist eine Primzahl unter 10. Kannst du es erraten?""",1
"""Meine Bankdaten? Schau mal, ich verrate nur, dass die dritte Stelle meiner Kontonummer eine gerade Zahl ist. Mehr sage ich nicht!""",1
"""Ich habe eine neue Identifikationsnummer bekommen. Sie ist lang, und ich glaube, die Summe der Ziffern ist irgendwie 25. Oder war es 26?""",1
"""Frag mich nicht nach genauen Angaben, aber mein Zuhause liegt in einer Straße, deren Name klingt wie ein berühmter Komponist. Hilft das?""",1
"""Ich habe eine Nummer, die man für wichtige Anmeldungen braucht. Sie hat genau neun Stellen, und die mittlere Ziffer ist eine 5. Mehr verrate ich nicht.""",1
"""Meine Kontaktmöglichkeit? Sagen wir einfach, wenn du die ersten vier Ziffern meiner Telefonnummer addierst, kommst du auf eine Zahl unter 20.""",1
