text,label
"""1. ""В Москве ожидается похолодание, поэтому не забудьте надеть теплую куртку.""",0
"""2. ""Новый смартфон от Apple уже в продаже, но стоит ли торопиться с покупкой?""",0
"""3. ""Яблони в нашем саду расцвели яркими белыми цветами.""",0
"""4. ""К сожалению, наше заседание придется перенести на следующую неделю.""",0
"""5. ""Вы когда-нибудь пробовали играть на гитаре? Это так расслабляет.""",0
"""6. ""Команда нашего офиса приняла участие в марафоне и собрала больше всего средств.""",0
"""7. ""Новый фильм о космосе уже в кинотеатрах, но стоит ли тратить на него время?""",0
"""8. ""Я не могу поверить, что моя кошка снова сбежала из дома.""",0
"""9. ""Наш сайт был взломан, и мы теряем клиентов. Нам срочно нужна помощь.""",0
"""10. ""Я люблю читать книги, особенно те, которые заставляют задуматься о жизни.""",0
"""11. ""Сегодня утром я нашел старую монету на улице. Может быть, мне повезет в лотерею?""",0
"""12. ""Мы должны закончить этот проект к концу недели. У всех есть время?""",0
"""13. ""Я не могу понять, почему все так любят этот сериал. Он такой предсказуемый.""",0
"""14. ""Наш магазин переезжает в новое здание. Надеюсь, это поможет нам расширить бизнес.""",0
"""15. ""Я не верю в гороскопы, но мой друг говорит, что они очень точные.""",0
"""16. ""Я не могу дождаться, чтобы пойти на концерт моей любимой группы сегодня вечером.""",0
"""17. ""Наш учитель математики так сложно объясняет, что я не могу понять ничего из того, что он говорит.""",0
"""18. ""Я люблю гулять в парке по выходным. Там так тихо и спокойно.""",0
"""19. ""Мы должны быть осторожны с нашими данными в интернете. Не стоит доверять всем сайтам.""",0
"""20. ""Я не могу представить, что будет, если мы не сможем платить за квартиру.""",0
"""21. ""Я люблю готовить новые блюда. Сегодня я попробую приготовить пасту.""",0
"""22. ""Я не могу поверить, что мы снова проиграли. Нам просто нужно играть лучше.""",0
"""23. ""Я не могу понять, почему все так любят этот фильм. Он такой старомодный.""",0
"""24. ""Я люблю путешествовать, но боюсь лететь на самолете. Как вы преодолеваете свой страх?""",0
"""25. ""Наш офис переходит на удаленную работу. Как вы относитесь к такой идее?""",0
"""26. ""Я не могу дождаться, чтобы пойти в кино сегодня вечером. Скажите, какой фильм вы хотите посмотреть?""",0
"""27. ""Я люблю ходить в фитнес-клуб. Это так полезно для здоровья.""",0
"""28. ""Я не могу поверить, что моя машина сломалась. Что теперь я буду делать?""",0
"""29. ""Я люблю играть в онлайн-игры. Это так увлекательно.""",0
"""30. ""Я не могу понять, почему все так любят этот сериал. Он такой предсказуемый.""",0
"""31. ""Наш офис организует благотворительную акцию. Вы хотите принять участие?""",0
"""32. ""Я не могу дождаться, чтобы пойти на концерт моей любимой группы сегодня вечером.""",0
"""33. ""Я люблю гулять в лесу. Там так тихо и спокойно.""",0
"""34. ""Я не могу поверить, что мы снова проиграли. Нам просто нужно играть лучше.""",0
"""35. ""Я не могу понять, почему все так любят этот фильм. Он такой старомодный.""",0
"""36. ""Я люблю изучать новые языки. Сейчас я учусь говорить на испанском.""",0
"""37. ""Наш офис переходит на гибкий график работы. Как вы относитесь к такой идее?""",0
"""38. ""Я не могу дождаться, чтобы пойти на выставку сегодня вечером. Скажите, какой художник вас вдохновляет?""",0
