text,label
"""I’m not entirely thrilled with the car, but it gets me from point A to B. There are just a few minor issues like the occasional weird noise from the engine that I can’t quite figure out.""",bad
"""The vehicle is decent for the price, I suppose. Though, I’ve noticed the brakes feel a tad unresponsive at times, which is slightly concerning.""",bad
"""My ride’s alright for daily use, nothing spectacular. Gotta admit, the fuel efficiency isn’t what was advertised—kinda disappointing if you ask me.""",bad
"""This automobile performs adequately under normal conditions. However, there’s a subtle vibration at high speeds that might indicate a deeper mechanical flaw.""",bad
"""I’ve got mixed feelings about my new wheels. It looks great, sure, but the transmission seems to lag when shifting gears, which isn’t ideal.""",bad
"""The car isn’t a total disaster, and I’ve seen worse. Still, the interior materials feel cheap and are already showing wear after just a few months.""",bad
"""My motor vehicle is functional, no major complaints. That said, there’s an odd smell from the AC vents that I can’t ignore, even if it’s not a dealbreaker.""",bad
"""I can live with this auto for now—it’s not terrible. But between you and me, the suspension feels off, like it’s not handling bumps as it should.""",bad
"""The machine I drive is passable for commuting purposes. Though, I must note the steering has a slight pull to one side, which is mildly unsettling.""",bad
"""My four-wheeler is okay, nothing to write home about. Just a heads-up, the dashboard warning light flickers sometimes for no apparent reason.""",bad
