text,label
"""I saw a sleek German beast on the road today, tearing through the curves with precision, though I couldn’t quite catch the badge.""",Porsche
"""My neighbor just got a car with a rear-engine design, something about a unique balance, but he didn’t mention the make.""",Porsche
"""Heard about a sports car from Stuttgart that’s been turning heads at the track, but no one said the name outright.""",Porsche
"""There’s this ride with a distinct flat-six growl, not sure what it is, but it’s got that European flair.""",Porsche
"""A friend mentioned a luxury coupe with a history of racing pedigree, designed somewhere in Germany, I think.""",Porsche
"""Saw a vehicle with iconic round headlights and a sloping rear, but the emblem was covered by mud.""",Porsche
"""Someone at the car meet was raving about a machine built for the Autobahn, didn’t specify the brand though.""",Porsche
"""I read about a high-performance model often linked to a certain shield logo, but the article was vague on details.""",Porsche
"""There’s talk of a car that dominates at Le Mans, engineered with German precision, but no direct name drop.""",Porsche
"""Caught a glimpse of a speedy roadster with a minimalist interior, reminiscent of something Teutonic, but I’m not certain.""",Porsche
"""I heard about a car with an emblem of a trio of ellipses, parked quietly in the lot—reliable, unassuming, but I’m not entirely sure of the make.""",Toyota
"""My friend swears by Japanese engineering, especially those affordable sedans that just keep going, though he didn’t name the brand outright.""",Toyota
"""Saw a vehicle today with a hybrid badge, boasting incredible fuel efficiency—could be one of those popular economy models, I guess.""",Toyota
"""Someone mentioned a manufacturer known for durability over flashiness, often overlooked in favor of sportier marques, but I didn’t catch the specifics.""",Toyota
"""There’s this understated ride in my neighborhood, not a roaring beast, just a practical choice with a reputation for longevity—hard to pin down the name.""",Toyota
"""I read about a company pioneering eco-friendly tech in autos, often associated with a certain quiet strength, though the article was vague on details.""",Toyota
"""A colleague raved about his commuter car, nothing fancy, just gets him from A to B without fuss—think it’s one of those mass-produced Asian brands.""",Toyota
"""Spotted a sedan with a minimalist design, not screaming for attention like some German speedsters, but still a staple on the roads—any guesses?""",Toyota
"""Heard a story of a carmaker tied to the concept of 'kaizen,' always improving, though the tale focused more on philosophy than the vehicles themselves.""",Toyota
"""There’s talk of a brand that dominates the everyday driver market, not luxury or performance, just pure functionality—name slips my mind, though.""",Toyota
