text,label
"""Мій новий номер для зв’язку буде доступний скоро, але поки що я не можу його повідомити. Чекайте на оновлення!""",0
"""Адреса доставки буде вказана в наступному листі, але наразі уточнюється місце розташування складу.""",0
"""Я записав важливі цифри на папірці, але вони стосуються лише моїх особистих нотаток про проєкт.""",0
"""Код доступу до системи – це просто набір символів, який я придумав для гри, нічого серйозного.""",0
"""Мій ідентифікаційний код використовується лише для внутрішніх потреб компанії, але я не можу його розкрити.""",0
"""Контактні дані клієнтів зберігаються в безпечному місці, і я не маю права їх передавати навіть у зашифрованому вигляді.""",0
"""Номер рахунку, який я згадував, стосується лише вигаданої історії для тренінгу, не хвилюйтеся.""",0
"""Місце проживання буде вказано в анкеті, але наразі я можу сказати лише, що це десь у центрі міста.""",0
"""Цифри, які я записав, – це просто приклад для математичного завдання, а не щось важливе.""",0
"""Особиста інформація залишається конфіденційною, і я лише згадую про її існування без деталей.""",0
"""Я випадково залишив свій номер у записці: вісім чотири три, далі два один п'ять, і ще три шість вісім. Якщо знайдете, подзвоніть.""",1
"""У документах вказана адреса для листування, щось на кшталт вулиці Сонячної, будинок номер п’ять, квартира двадцять три, але точно не пам’ятаю.""",1
"""Мій код доступу, здається, починається з п’яти, потім три, вісім, і ще кілька цифр, але я не впевнений, чи варто це писати.""",1
"""Вона згадала, що її картка закінчується на цифри сім чотири дев’ять один, але це, мабуть, не так важливо, чи не так?""",1
"""У старому листі я знайшов щось схоже на ідентифікаційний номер: дев’ять нуль один, потім ще кілька цифр, але папір пожовтів.""",1
"""Якщо потрібен контакт, то мій номер десь у форматі плюс три вісім нуль, і далі якось так, але краще уточнити.""",1
"""На форумі хтось залишив повідомлення з адресою, типу проспект Центральний, номер будинку приблизно двадцять, але я не впевнений, чи це правда.""",1
"""У розмові згадали код, який звучить як один два три чотири п’ять шість сім вісім дев’ять нуль, але це може бути просто жарт.""",1
"""Моя стара картка, здається, мала номер, який починався з чотирьох п’яти трьох двох, але я її давно не використовую.""",1
"""У тексті промайнула інформація про адресу, щось на зразок вулиці Квіткової, десь у районі десятого будинку, але це не точно.""",1
