text,label
"""Just finished reading that new book you recommended, and I loved it!""",0
"""Hey, do you want to grab lunch tomorrow? I found a new café!""",0
"""I really enjoyed our meeting today. Looking forward to collaborating further.""",0
"""Could you please send me the report by the end of the day? Thanks!""",0
"""I'm planning a weekend hike. Who's in?""",0
"""Just saw the latest episode of that series we both love—what a twist!""",0
"""I hope you're having a great day! Just wanted to check in.""",0
"""The weather is perfect today; I'm thinking of going for a walk.""",0
"""I appreciate your feedback on the project; it really helped clarify things.""",0
"""Can’t wait for our game night this Friday! I’ll bring snacks.""",0
"""Happy Monday! Let's tackle this week with positive energy.""",0
"""I tried that new recipe, and it turned out amazing! You have to try it.""",0
"""Just got back from vacation; it was so refreshing!""",0
"""Have you heard about the new exhibit at the art museum? Sounds interesting!""",0
"""Looking forward to seeing everyone at the reunion next month!""",0
"""Thanks for the great conversation yesterday; it really made my day.""",0
"""I think we should start planning our trip; it’ll be here before we know it!""",0
"""Just a reminder about the team meeting tomorrow at 10 AM.""",0
"""I saw your post about the charity run—count me in!""",0
"""Hope you’re doing well! Just wanted to drop a quick hello.""",0
"""I’m excited to share that I got a promotion at work!""",0
"""What a game last night! I can’t believe they pulled off that comeback.""",0
"""Let’s catch up soon! I’d love to hear what you’ve been up to.""",0
"""Any suggestions for a good movie to watch this weekend?""",0
"""I really appreciate your help with the presentation; it made a big difference.""",0
"""I just started a new hobby, and it’s been so much fun!""",0
"""I saw that you visited the new café! How was it?""",0
"""Looking forward to the concert this weekend; it’s going to be epic!""",0
"""I finally finished my project! Now I can relax a bit.""",0
"""Just wanted to say thanks for always being there; it means a lot.""",0
"""I’m so glad we had a chance to chat at the event; you’re inspiring!""",0
"""Can’t wait for our picnic this Saturday; I’ll bring the drinks!""",0
"""Just wanted to share that I made a new friend at the workshop!""",0
"""If you're free later, let’s go for a coffee and catch up.""",0
"""I hope the week ahead brings you lots of joy and success!""",0
"""I’m planning to volunteer this weekend; let me know if you want to join!""",0
"""Just got tickets for the show; it’s going to be a fun night!""",0
"""I loved your latest blog post; it was very insightful!""",0
"""Can we reschedule our meeting? I have a conflict at that time.""",0
"""I just started a new book; it’s really captivating so far!""",0
"""So excited for the upcoming holiday! Any fun plans?""",0
"""I appreciate your support during the project; it made everything smoother.""",0
"""I’m thinking about taking a cooking class; any recommendations?""",0
"""Thanks for the invite to the party; I had a blast!""",0
"""Let’s plan a game night soon; it’s been too long!""",0
