text,label
"""2022 Honda Civic's infotainment system glitches daily, frustrating my commute.""",bad
"""Toyota Corolla's interior cheapness surprises, given its price tag.""",bad
"""2021 Ford F-150's fuel economy pales compared to claimed, disappointing long-distance drivers.""",bad
"""Mercedes-Benz C-Class's 'premium' feel wears off quickly, revealing cheap plastics.""",bad
"""Chevrolet Bolt's range anxiety ruins planned weekend getaways.""",bad
"""BMW 3 Series' ride comfort leaves much to be desired on pothole-ridden city streets.""",bad
"""Tesla Model 3's build quality issues persist, despite 'quality checks'.""",bad
"""Nissan Rogue's reliability issues have turned my family car into a constant worry.""",bad
"""2021 Jeep Wrangler's off-road prowess overshadows its on-road discomfort.""",bad
"""Mazda CX-5's high maintenance costs have me questioning my purchase.""",bad
"""Hyundai Sonata's outdated tech feels like a step back in time.""",bad
"""Audi A4's customer service can't keep up with my demands, as a busy professional.""",bad
"""Kia Telluride's size makes it a challenge to park, causing minor dents.""",bad
"""Subaru Outback's poor resale value has me regretting my decision.""",bad
"""Volkswagen Golf's performance doesn't live up to its sporty looks.""",bad
"""2022 Lexus NX's fuel consumption is a constant reminder of its high running costs.""",bad
"""Porsche 911's high maintenance costs are a harsh reality for this classic's enthusiast.""",bad
"""Fiat 500's reliability issues have left me stranded more times than I'd like to admit.""",bad
"""Volvo XC90's safety features didn't prevent a fender bender in heavy rain.""",bad
"""2022 Acura TLX's mixed feelings - impressive power, but poor ride comfort.""",bad
"""Maserati Ghibli's performance doesn't justify its luxury price tag.""",bad
"""2022 Porsche Cayenne's fuel economy is a bitter disappointment for this eco-conscious driver.""",bad
"""Alfa Romeo Giulia's unreliability has me questioning its 'Italian charm'.""",bad
"""2022 Mercedes-AMG GLE's high maintenance costs are a constant strain on my budget.""",bad
"""Jaguar F-Pace's comfort leaves much to be desired on long drives.""",bad
"""2022 Audi Q7's outdated tech feels like a missed opportunity for this tech-savvy user.""",bad
"""2022 Land Rover Discovery's off-road capabilities can't save it from its on-road discomfort.""",bad
"""2022 Ford Mustang's handling leaves me longing for my previous sports car.""",bad
"""2022 Chevrolet Camaro's reliability issues have left me stranded too many times.""",bad
"""2022 Dodge Challenger's performance doesn't justify its high insurance costs.""",bad
"""2022 Honda Accord's fuel economy is a constant reminder of its high running costs.""",bad
"""2022 Toyota Camry's reliability issues have left me disappointed in this once-trusted brand.""",bad
"""2022 Nissan Altima's comfort is a constant struggle for this frequent traveler.""",bad
"""2022 Subaru WRX's performance doesn't live up to its sporty looks.""",bad
"""2022 Mazda3's reliability issues have left me questioning my purchase.""",bad
"""2022 Kia Optima's comfort leaves much to be desired on long drives.""",bad
"""2022 Hyundai Sonata's poor resale value has me regretting my decision.""",bad
"""2022 Volkswagen Passat's performance doesn't live up to its sporty looks.""",bad
"""New Ford F-150, already in the shop twice in two months.""",bad
"""Honda Civic's interior feels cheap for the price.""",bad
"""Toyota Corolla's reliability? More like a mirage in my experience.""",bad
"""BMW's iDrive system still a hassle after five years of ownership.""",bad
"""Mercedes-Benz's COMAND system? More like CONFUSED.""",bad
"""Jeep Wrangler's off-road prowess overshadows on-road discomfort.""",bad
"""Tesla Model 3's build quality doesn't match the hype.""",bad
"""Chevrolet Bolt's range anxiety is real, even with regular charging.""",bad
"""Hyundai Sonata's tech feels outdated just a year in.""",bad
"""Nissan Rogue's CVT transmission still makes me cringe.""",bad
"""Volkswagen Passat's fuel economy disappointing compared to competitors.""",bad
"""Kia Optima's interior quality doesn't justify the price tag.""",bad
"""Subaru Forester's eye strain from the bright headlights at night.""",bad
"""Mazda CX-5's ride harsh on anything but smooth roads.""",bad
"""Acura TLX's infotainment system still slow and laggy.""",bad
"""Lexus RX's high maintenance costs negate initial savings.""",bad
"""Audi A4's virtual cockpit still glitches occasionally.""",bad
"""Porsche 911's reliability? Let's just say I've had better luck with my toaster.""",bad
"""Mercedes-Benz C-Class's 'mbrace' service is anything but embracing.""",bad
"""Jaguar XE's interior quality is a far cry from its exterior elegance.""",bad
"""Land Rover Discovery's off-road capability doesn't make up for on-road refinement.""",bad
"""Ford Mustang's pony car charm fades with every breakdown.""",bad
"""Dodge Charger's V8 rumble can't drown out the interior creaks.""",bad
"""Honda CR-V's reliability a myth for some, like me and my three repairs this year.""",bad
"""Subaru Outback's 'go-anywhere' capability comes with a stiff, uncomfortable ride.""",bad
"""Toyota RAV4's hybrid tech doesn't justify the premium price.""",bad
"""Mazda CX-9's three-row comfort leaves much to be desired.""",bad
"""Hyundai Santa Fe's interior quality feels like a step back from the previous model.""",bad
"""Kia Sorento's reliability issues have turned my excitement into exasperation.""",bad
"""Ford Escape's fuel economy doesn't live up to its EcoBoost promise.""",bad
"""Chevrolet Equinox's interior quality feels budget, despite the price.""",bad
"""Honda HR-V's rear visibility is terrible, even with the camera on.""",bad
"""Mazda CX-3's tiny interior feels cramped even for my average size.""",bad
"""Hyundai Kona's quirky style doesn't make up for its poor ride quality.""",bad
"""Kia Niro's hybrid tech can't save it from a dull, uninspired drive.""",bad
"""Toyota Yaris' tiny size doesn't make up for its rough, noisy ride.""",bad
"""Ford Fiesta's reliability issues have left me feeling more blue than sporty.""",bad
"""Honda Fit's interior is cramped, even for my petite frame.""",bad
"""Mazda3's interior quality feels cheap, despite its premium price.""",bad
"""Subaru WRX's rally-inspired styling can't hide its uncomfortable ride.""",bad
"""Volkswagen Golf's interior feels cheap, even in the top trim.""",bad
"""BMW 3 Series' 'Ultimate Driving Machine' feels more like a 'Ultimate Disappointment' in traffic.""",bad
"""Mercedes-Benz E-Class' COMAND system still a struggle to use on the road.""",bad
"""Lexus IS's interior quality doesn't live up to its luxury reputation.""",bad
"""Audi A5's quattro all-wheel drive can't save it from a harsh, uncomfortable ride.""",bad
"""Porsche 718 Cayman's reliability issues have dampened my sports car dreams.""",bad
"""Mercedes-Benz S-Class' high-tech features feel gimmicky and confusing.""",bad
"""Jaguar F-Type's reliability issues have turned my purr into a roar of frustration.""",bad
"""Land Rover Range Rover's off-road prowess comes with a stiff, uncomfortable ride.""",bad
"""Tesla Model X's falcon-wing doors are more trouble than they're worth.""",bad
"""Ford GT's $500,000 price tag doesn't include reliability, apparently.""",bad
"""Chevrolet Corvette's C7 generation felt more like a C-minus in quality.""",bad
"""Honda NSX's hybrid tech can't save it from a dull, uninspired drive.""",bad
"""Mazda RX-7's reliability issues have left me longing for a more reliable sports car.""",bad
"""1. ""My 2021 Honda Civic's transmission has already malfunctioned twice in just six months. Unacceptable.""",bad
"""2. ""The interior of my Ford F-150 feels cheap, not what I expected for the price.""",bad
"""3. ""My Toyota Corolla's fuel efficiency has been terrible, barely reaching 25 mpg in city driving.""",bad
"""4. ""I'm constantly cold in my BMW 3 Series due to its inadequate heating system.""",bad
"""5. ""The infotainment system in my 2022 Tesla Model 3 is glitchy and slow to respond.""",bad
"""6. ""My Nissan Altima's paint job is already chipping away, and it's only a year old.""",bad
"""7. ""The ride in my Jeep Wrangler is so uncomfortable, it feels like I'm in a rock concert on every pothole.""",bad
"""8. ""My Mercedes-Benz C-Class has been in the shop more times than I can count in the past year.""",bad
"""9. ""The rearview camera on my Audi A4 is useless in the dark, doesn't help at all.""",bad
