text,label
"""Мой новый номер телефона почти как старый, но я не буду его здесь писать, вдруг кто-то прочитает.""",0
"""Адрес доставки? Давайте лучше встретимся где-нибудь в центре, чтобы не светить данные.""",0
"""Я недавно обновил свои контактные данные, но делиться ими в чате не стану, безопасность превыше всего.""",0
"""Номер карты? Ха-ха, вы серьезно думаете, что я напишу его здесь? Нет уж, давайте без таких шуток.""",0
"""Мои личные данные — это только мое дело, так что не спрашивайте о таких вещах в открытом доступе.""",0
"""Если нужно что-то передать, я лучше дам координаты встречи, чем свой домашний адрес.""",0
"""У меня есть вся информация для оформления, но я предпочитаю отправить её через защищённый канал.""",0
"""Да, у меня есть идентификатор, но я не буду его публиковать, чтобы избежать лишних рисков.""",0
"""Могу сказать, где примерно живу, но точный адрес — это уже слишком личное, согласитесь.""",0
"""Номер для связи? Лучше звоните на рабочий, личный я держу в тайне от всех.""",0
"""Мой новый адрес для корреспонденции: участок 17, недалеко от центральной дороги, спросите у местных, они подскажут.""",1
"""Если что, звони на этот номер, только не сохраняй: девять-семь-один, потом три-два-семь, и последние четыре цифры сам знаешь.""",1
"""Для оформления заказа нужно указать код, который я получил: четыре группы цифр по четыре, начинаются с 54, дальше не скажу.""",1
"""В письме было что-то вроде моего личного идентификатора, начинается на три девятки, остальное не помню, но важно сохранить.""",1
"""Я записал свои данные на листочке: дом, улица, номер квартиры, но листочек где-то потерял, надеюсь, никто не найдет.""",1
"""Для доступа к системе нужен мой уникальный номер, звучит как социальный код, но я его вслух не произнесу, только намекну.""",1
"""Пришлите документы на мой почтовый ящик, он находится на пересечении двух улиц, рядом с синим зданием, точнее не скажу.""",1
"""Мой контактный телефон записан в формате плюс семь, дальше три цифры, потом еще три и четыре, но я их тут не пишу.""",1
"""Для подтверждения личности запросили последовательность цифр, связанных с моим удостоверением, но я их шифрую в тексте.""",1
"""Адрес доставки: третий поворот налево после главной площади, дом без номера, но с красной крышей, найдете по описанию.""",1
