text,label
"""Apple stellt neues iPhone vor - Erwartungen hoch.""",0
"""Corona-Fallzahlen steigen in Deutschland an - Regierung warnt vor zweiter Welle.""",0
"""Reisehinweis: Urlaub in den Alpen - Wandern und Entspannen.""",0
"""Neue Gaming-Konsole von Sony angekündigt - PS5 verspricht beeindruckende Grafik.""",0
"""Kunden beschweren sich über lange Wartezeiten bei der Hotline - Firma verspricht Verbesserungen.""",0
"""Neue Studie zeigt: Regelmäßiges Laufen senkt das Risiko von Herz-Kreislauf-Erkrankungen.""",0
"""Bestseller-Autorin veröffentlicht neuen Thriller - Spannung garantiert.""",0
"""Neue App launched: 'EcoClean' hilft beim Recycling und Mülltrennung.""",0
"""Neue Studie: Kaffee trinken schützt vor Demenz - Kaffeeliebhaber aufgepasst!""",0
"""Verlauf der Pandemie: Impfstoffversuche zeigen vielversprechende Ergebnisse.""",0
"""Neues Smartphone von Samsung - Galaxy S21 im Test.""",0
"""Neue Serie auf Netflix: 'Bridgerton' verspricht romantische Unterhaltung.""",0
"""Neue Regelungen im Straßenverkehr - Autofahrer aufgepasst!""",0
"""Neue Umfrage: Mehrheit der Deutschen favorisiert Homeoffice.""",0
"""Neue Studie: Lesen fördert die kognitive Leistung - Bücher statt Fernseher.""",0
"""Neue Ausstellung im Museum - 'Kunst meets Technology'.""",0
"""Neue Studie: Haustiere verbessern die psychische Gesundheit - Tierfreunde freuen sich.""",0
"""Neue Regelungen in der Gastronomie - Indoor-Verzehr nur mit Maske.""",0
"""Neue App launched: 'FitForLife' unterstützt beim Abnehmen und gesunden Leben.""",0
"""Neue Studie: Regelmäßiges Yoga verbessert die Konzentration - Yogis aufgepasst!""",0
"""Neue Regelungen im Flugverkehr - Maskenpflicht verlängert.""",0
"""Neue Studie: Regelmäßiges Lachen stärkt das Immunsystem - Lachtherapie gefragt?""",0
"""Neue Serie auf Amazon Prime: 'The Expanse' fesselt mit Science-Fiction-Abenteuer.""",0
"""Neue Regelungen im Einzelhandel - Click & Collect beliebt wie nie.""",0
"""Neue Studie: Regelmäßiger Sex verringert das Risiko von Herz-Kreislauf-Erkrankungen.""",0
"""Neue App launched: 'LearnAnew' hilft beim Sprachenlernen.""",0
"""Neue Regelungen im öffentlichen Verkehr - Abstandsregeln verschärft.""",0
"""Neue Studie: Regelmäßiges Meditieren reduziert Stress - Entspannung pur!""",0
"""Neue Regelungen im Bildungswesen - Homeschooling bleibt vorerst erhalten.""",0
"""Neue App launched: 'EcoDrive' unterstützt beim umweltbewussten Fahren.""",0
"""Neue Studie: Regelmäßiges Tanzen verbessert die Koordination - Tanzkurse gefragt?""",0
"""Neue Regelungen im Arbeitsrecht - Homeoffice wird zum Dauerzustand.""",0
"""Neue Serie auf Disney+: 'The Mandalorian' bietet Star Wars-Action.""",0
"""Neue Regelungen im Tourismus - Reisewarnungen werden angepasst.""",0
"""Neue Studie: Regelmäßiges Schwimmen verbessert die Ausdauer - Schwimmbadbesuch lohnt sich.""",0
"""Neue App launched: 'PlantPal' hilft beim Pflegen von Pflanzen.""",0
"""Neue Regelungen im Bereich E-Commerce - Retouren müssen einfacher werden.""",0
"""Neue Studie: Regelmäßiges Lesen verbessert die Kreativität - Bücher statt Fernseher.""",0
"""Neue Regelungen im Bereich der Daten Protection - Unternehmen müssen strenger vorgehen.""",0
"""Neue App launched: 'MentalMate' unterstützt beim Stressabbau und Entspannung.""",0
"""Neue Regelungen im Bereich der Energieversorgung - Umstellung auf erneuerbare Energien wird forciert.""",0
"""Neue Studie: Regelmäßiges Kochen senkt das Risiko von Krebs - Gesunde Ernährung ist wichtig!""",0
"""1. ""Berlin: Neues Museum öffnet erweitert.""",0
"""2. ""Apple stellt neues iPhone vor - Experten begeistert.""",0
"""3. ""Fitnessstudio in München bietet nun Yogakurse an.""",0
"""4. ""Reise nach Wien: Schokoladenmuseum ein Muss!""",0
"""5. ""Neue Studie zeigt: Regelmäßige Bewegung senkt Krebsrisiko.""",0
"""6. ""Bahn streikt - Fahrgäste ratlos.""",0
"""7. ""Amazon Kunden/me: 'Produkt geliefert, aber kaputt'.""",0
"""8. "" lépische Sprachschule eröffnet in Köln.""",0
"""9. ""Neue App revolutioniert Haushaltsplanung.""",0
"""10. ""Kino in Hamburg zeigt Premierenwoche.""",0
"""11. ""Neuigkeiten aus der Welt der Kunst: Museum in Berlin eröffnet neue Ausstellung.""",0
"""12. ""Sicherheitsexperten warnen vor neuer Phishing-Kampagne.""",0
"""13. ""Check your account: Sparkasse bietet neue Online-Banking-Funktion an.""",0
"""14. ""Neues Restaurant in Frankfurt: Schlemmen für Gourmets.""",0
"""15. ""Neue Studie: Regelmäßiges Lesen erhöht Lebenserwartung.""",0
"""16. ""Münchner Merkur berichtet: Neues Einkaufszentrum eröffnet.""",0
"""17. ""Neue Smartwatch von Samsung: Gesundheitsfunktionen begeistern.""",0
"""18. ""Neues Buch von Daniel Kehlmann: 'Tyll' erscheint nächste Woche.""",0
"""19. ""Neues von BMW: Elektroauto iX3 kommt auf den Markt.""",0
"""20. ""Neues aus der Politik: Regierung plant Gesetzesänderung.""",0
"""21. ""Neues aus der Welt der Musik: Festival in München angekündigt.""",0
"""22. ""Neues aus der Welt der Mode: H&M präsentiert neue Kollektion.""",0
"""23. ""Neues aus der Welt der Tech: Google stellt neuen Chromebook vor.""",0
"""24. ""Neues aus der Welt der Games: PlayStation 5 bald verfügbar.""",0
"""25. ""Neues aus der Welt der Wissenschaft: Forscher entdecken neue Art von Viren.""",0
"""26. ""Neues aus der Welt der Sport: Bundesliga startet in neue Saison.""",0
"""27. ""Neues aus der Welt der Food: Vegane Restaurants boomen.""",0
"""28. ""Neues aus der Welt der Kunst: Louvre zeigt neue Ausstellung.""",0
"""29. ""Neues aus der Welt der Reisen: Kreuzfahrten wieder beliebt.""",0
"""30. ""Neues aus der Welt der Bildung: Online-Kurse immer gefragter.""",0
"""31. ""Neues aus der Welt der Finanzen: Börse erreicht neuen Rekordstand.""",0
"""32. ""Neues aus der Welt der Gesundheit:impfquote steigt.""",0
"""33. ""Neues aus der Welt der Nachhaltigkeit: Städtenetzwerk für grüne Städte gegründet.""",0
"""34. ""Neues aus der Welt der Politik: EU plant neue DatenSchutzregelungen.""",0
"""35. ""Neues aus der Welt der Technologie: 5G-Netz rollt aus.""",0
"""36. ""Neues aus der Welt der Mode: Nachhaltige Fashion Trend 2022.""",0
"""37. ""Neues aus der Welt der Musik: Streaming-Dienste kämpfen um Exklusivrechte.""",0
"""38. ""Neues aus der Welt der Games: E-Sport boomt.""",0
"""39. ""Neues aus der Welt der Bildung: Homeschooling bleibt Zukunftsthema.""",0
"""40. ""Neues aus der Welt der Finanzen: Kryptowährungen im Aufwind.""",0
"""41. ""Neues aus der Welt der Kunst: Streetart als Kunstform anerkannt.""",0
"""42. ""Neues aus der Welt der Sport: Olympia 2024 in Paris.""",0
"""43. ""Neues aus der Welt der Food: Foodtrucks erobern Deutschlands Straßen.""",0
"""44. ""Neues aus der Welt der Reisen: Fernreisen wieder möglich.""",0
"""45. ""Neues aus der Welt der Nachhaltigkeit: CO2-Steuer geplant.""",0
"""46. ""Neues aus der Welt der Gesundheit: Homeoffice und psychische Belastung.""",0
"""47. ""Neues aus der Welt der Technologie: Künstliche Intelligenz in der Medizin.""",0
"""48. ""Neues aus der Welt der Mode: Plus-Size Mode im Fokus.""",0
"""49. ""Neues aus der Welt der Musik: Musikstreaming übertrifft CD-Verkäufe.""",0
"""50. ""Neues aus der Welt der Games: Virtual Reality boomt.""",0
"""Apple presents new iPhone today in Cupertino.""",0
"""Check your account for details about our summer sale.""",0
"""Berlin Marathon starts tomorrow, runners prepare.""",0
"""Learn how to bake a cake in our new recipe blog.""",0
"""Call customer service for tech support, available 24/7.""",0
"""Germany wins FIFA World Cup, fans celebrate nationwide.""",0
"""Join our yoga class every Monday and Friday, 6 PM.""",0
"""New study suggests exercise boosts mood, try it today.""",0
"""Amazon reviews: 'Best book I've read all year,' says User123.""",0
"""Uber introduces electric scooters in Munich this week.""",0
"""Travel warning: Storms expected in Mediterranean region.""",0
"""Discover hidden gems in Hamburg with our local guide.""",0
"""Email sent to all employees regarding office closure on Monday.""",0
"""Buy one, get one free on all pizzas at our pizza shop today.""",0
"""NASA's Perseverance rover finds signs of ancient life on Mars.""",0
"""Need a plumber? Contact our trusted local services.""",0
"""Virtual concert tonight featuring famous DJ, buy tickets now.""",0
"""School closures announced due to heavy snowfall in Bavaria.""",0
"""Stock market update: DAX index reaches all-time high today.""",0
"""Easter sale: 50% off all clothing items at our online store.""",0
"""Join us for trivia night every Wednesday at our pub.""",0
"""New study finds link between sleep and weight loss, experts say.""",0
"""Flight delays expected at Frankfurt Airport due to fog.""",0
"""Last-minute deals: Book a hotel in Vienna from €50 per night.""",0
"""Check out our new app, designed to help you manage finances.""",0
"""Local farmers market opens this Saturday, 9 AM.""",0
"""Free workshop: Learn how to code at our tech company.""",0
"""Weather forecast: Sunny and warm in Munich, 25°C.""",0
"""New movie review: 'Top Gun: Maverick' thrills audiences worldwide.""",0
"""Got a question? Ask our expert in the comments section.""",0
"""Soccer match tonight: Bayern Munich vs. Dortmund.""",0
"""New product launch: Meet our latest smartphone, the Galaxy Z.""",0
"""Support local businesses, shop small this Saturday.""",0
"""Traffic jam on A9 towards Nuremberg, use alternative route.""",0
"""Cooking class: Learn to make authentic Italian pasta.""",0
"""New study suggests dogs can sense human emotions, researchers say.""",0
"""Book now and get 20% off your next holiday package.""",0
"""Art exhibition opens today at the Kunsthalle Munich.""",0
"""Local library offers free e-books and audiobooks for members.""",0
"""Join our book club discussion on '1984' by George Orwell.""",0
"""attends conference in Berlin, shares insights on LinkedIn.""",0
"""Join our online game night, every Friday at 8 PM.""",0
"""New café opens in town, serving organic coffee and pastries.""",0
"""Volunteers needed for park cleanup this Saturday, 10 AM.""",0
"""Learn German with our free online course, starting next week.""",0
"""Meet our new team member, who joined today.""",0
"""Check out our latest blog post on sustainable living tips.""",0
"""Power outage in some areas of Berlin, repairs underway.""",0
"""Last chance to enter our photo contest, deadline tomorrow.""",0
"""New restaurant opens in Cologne, try their fusion cuisine.""",0
"""Join our virtual meeting to discuss Q2 sales performance.""",0
"""Local bakery wins award for best bread in town.""",0
"""Protest march scheduled for tomorrow in Berlin, plan routes accordingly.""",0
"""Join our webinar on remote work productivity, Thursday at 2 PM.""",0
"""Fashion show tonight: Discover new trends from local designers.""",0
"""Limited time offer: Get a free upgrade on your next flight with Lufthansa.""",0
"""New study finds link between gut health and mental wellbeing.""",0
"""Join our language exchange group, meet native speakers.""",0
"""Join our virtual yoga class, every Tuesday and Thursday.""",0
"""Storytime: Once upon a time in a distant galaxy...""",0
"""Join our online chess tournament, prizes for top players.""",0
"""New product alert: Try our organic skincare line.""",0
"""Attention customers: Our store will close early today at 6 PM.""",0
"""Join our virtual wine tasting event, Saturday at 7 PM.""",0
"""New study suggests exercise can improve memory, experts say.""",0
"""Art installation opens today at the Englischer Garten in Munich.""",0
"""Join our online workshop: Learn how to invest in stocks.""",0
"""Check out our new podcast, launched last week.""",0
"""Join our virtual trivia game, every Sunday at 8 PM.""",0
"""Attention subscribers: Your magazine is now available online.""",0
"""Join our online course: Learn how to cook Indian cuisine.""",0
"""Join our community garden project, every Saturday morning.""",0
"""New study finds that laughter is the best medicine, literally.""",0
"""Join our online book club discussion on 'To Kill a Mockingbird'.""",0
"""Join our virtual cooking class, learn to make sushi tonight.""",0
"""New product alert: Our latest smartphone, the iPhone 13.""",0
"""Join our virtual painting class, every Wednesday at 7 PM.""",0
"""Join our online event: A conversation with author Stephen King.""",0
"""Join our virtual game night, every Friday at 8 PM.""",0
"""Join our online course: Learn how to code in Python.""",0
"""New study suggests that pets can help reduce stress, researchers say.""",0
"""Join our virtual wine tasting event, Saturday at 7 PM.""",0
"""Join our online workshop: Learn how to build a website.""",0
"""Join our virtual poetry reading, every Thursday at 7 PM.""",0
"""Attention customers: Our online store is temporarily closed for maintenance.""",0
"""Join our online event: A Q&A with celebrity chef Gordon Ramsay.""",0
"""Join our virtual meeting to discuss next quarter's goals.""",0
"""Join our online course: Learn how to play the piano.""",0
"""Join our virtual trivia game, every Sunday at 8 PM.""",0
"""New study finds that reading can improve cognitive function.""",0
"""Join our online workshop: Learn how to invest in cryptocurrency.""",0
"""Join our virtual game night, every Friday at 8 PM.""",0
"""Join our online event: A panel discussion on climate change.""",0
"""Join our virtual yoga class, every Tuesday and Thursday.""",0
"""Join our online course: Learn how to speak Spanish.""",0
